"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000133262022685864,0.292429782446924,0.202,0.319,1,"0","CDC26"
0.000134499960334587,0.349198686509888,0.255,0.389,1,"0","CAST"
0.000137984634824661,0.460425501570465,0.171,0.253,1,"0","GRPEL1"
0.000143789061556602,0.305107112690559,0.208,0.329,1,"0","DNAJC7"
0.000150077951891232,0.382712257983615,0.152,0.25,1,"0","RAB18"
0.000150976160215421,0.902341043661936,0.427,0.41,1,"0","PRPF38B"
0.000152572412561019,0.392498628569381,0.167,0.261,1,"0","NSMCE1"
0.000171392483794275,0.821584689553315,0.469,0.481,1,"0","GPBP1"
0.00017625356148068,0.27331780787482,0.17,0.273,1,"0","SNX6"
0.000184356017875074,0.424382177492574,0.176,0.281,1,"0","UBE2K"
0.000185995814950379,0.83435609019936,0.338,0.345,1,"0","SEPT9"
0.000193321468656027,0.281766777634162,0.653,0.716,1,"0","EIF3K"
0.000199289102135894,0.307098922156238,0.18,0.287,1,"0","PPP1R11"
0.000200275965818944,0.376687781498265,0.157,0.267,1,"0","CCNG1"
0.000203731102935478,0.462942999301583,0.501,0.566,1,"0","DNAJB6"
0.000241351027986175,0.356329677514813,0.199,0.256,1,"0","IVNS1ABP"
0.000257108750255641,0.781931863371491,0.254,0.235,1,"0","LINC-PINT"
0.000269579086256684,0.282298407279691,0.167,0.297,1,"0","VOPP1"
0.000286515057434845,0.351884130999703,0.171,0.275,1,"0","OTUB1"
0.000291369669815658,0.365163003598787,0.163,0.251,1,"0","NT5C3A"
0.000309491801298023,0.349559822365403,0.492,0.598,1,"0","CUTA"
0.000310973851150642,0.325118615532888,0.456,0.409,1,"0","LSP1"
0.000323074930709993,0.501831410278318,0.192,0.294,1,"0","AHSA1"
0.000324066643801444,0.429071680496523,0.291,0.389,1,"0","NSA2"
0.000356828245081653,1.04364093516462,0.269,0.226,1,"0","CELF2"
0.000361882307212422,0.294241676744753,0.316,0.439,1,"0","PPIG"
0.000382071368618998,0.33854687601331,0.194,0.295,1,"0","TRABD"
0.000401093206156335,0.469145380028457,0.222,0.327,1,"0","PPM1G"
0.000402508197450377,0.261332750727197,0.188,0.285,1,"0","ATG12"
0.000415640734174022,0.439249057492484,0.207,0.297,1,"0","NXT1"
0.000480988827035178,0.35148441988724,0.653,0.703,1,"0","SRSF2"
0.000489933797401897,0.422013997029357,0.159,0.256,1,"0","KRAS"
0.000490044462198691,1.10441063493163,0.43,0.429,1,"0","CACYBP"
0.00049935098747933,0.652144181121607,0.404,0.457,1,"0","CMPK1"
0.000509424433194905,0.45095180608218,0.547,0.574,1,"0","CIB1"
0.000521780040316524,0.510933195610918,0.189,0.263,1,"0","FNBP4"
0.000552590190963414,0.298287588513502,0.191,0.297,1,"0","GSDMD"
0.000588512319484343,0.33196626761642,0.311,0.414,1,"0","HSPH1"
0.000606509366220377,0.289845350525624,0.252,0.367,1,"0","DDX46"
0.000614124727108312,1.02259078269805,0.376,0.352,1,"0","BCAS2"
0.000617014485233769,0.462057208064663,0.39,0.381,1,"0","OCIAD2"
0.000684390402708103,0.260841088710926,0.225,0.358,1,"0","RBM17"
0.000730279616574967,0.301273914068355,0.254,0.376,1,"0","NDUFA5"
0.000829605689270485,0.582078604296941,0.378,0.396,1,"0","HLA-F"
0.000835774612218526,0.362826164223018,0.215,0.314,1,"0","THRAP3"
0.000911470002490589,0.827590903828322,0.335,0.324,1,"0","EPC1"
0.00101635888089764,0.456447686974039,0.198,0.285,1,"0","MEAF6"
