"gene","logFC","logCPM","F","PValue","FDR","significance"
"MTSS1",-2.71225388638275,2.93246668885091,63.0649124014683,1.56559655435366e-06,0.000130624937483452,"Down in tumor"
"ST6GALNAC1",-2.40330816109598,5.94567962093935,68.4007587333646,1.58724885318603e-06,0.000130624937483452,"Down in tumor"
"AJUBA",3.59508677993041,2.67033250066262,45.6142333579034,1.61491385485604e-06,0.000130624937483452,"Up in tumor"
"GYLTL1B",4.60462034371367,2.7467710214604,56.8225038303824,1.61857753097289e-06,0.000130624937483452,"Up in tumor"
"TMEM74B",4.31110942502601,2.39566201507273,51.7298363218712,1.62028258137435e-06,0.000130624937483452,"Up in tumor"
"EPSTI1",2.2828921320461,5.10732382688403,63.8997111538089,1.62114335280022e-06,0.000130624937483452,"Up in tumor"
"TLE4",-2.28293563935011,4.70933021725,68.1904911372611,1.62586246767326e-06,0.000130624937483452,"Down in tumor"
"SSBP2",-3.72561539214086,1.31274762170223,59.9723551227212,1.64658294300422e-06,0.000131441649930971,"Down in tumor"
"RP11-747D18.1",-5.64276192799779,1.28733311306216,51.6215921948605,1.66389799430354e-06,0.000131977845369821,"Down in tumor"
"LGALS4",-1.62896826082575,10.8364209021692,67.4800760926935,1.70218618996252e-06,0.000134160282427869,"Down in tumor"
"CDKN2A",2.78291942081475,3.62928865852045,53.6335945604084,1.71808706887706e-06,0.000134561875903938,"Up in tumor"
"CAPN13",-3.64505203610721,1.66589103696478,59.0602608073555,1.7476175244263e-06,0.000135956195668036,"Down in tumor"
"SULT1A2",-4.03440726201154,3.02052246455963,66.8977421004359,1.75772484562385e-06,0.000135956195668036,"Down in tumor"
"TPH1",-6.25092642332265,3.14743207510084,71.7823985170863,1.79415726381905e-06,0.00013791753337246,"Down in tumor"
"PDE4C",-1.89616091318498,5.51515911972666,66.8509185612961,1.8103441615344e-06,0.000138308072660048,"Down in tumor"
"STAT1",1.81212227119843,5.04779563771177,65.116072807255,1.85869093392542e-06,0.000139879179302686,"Up in tumor"
"IGF2",14.5901766280447,7.21469882814253,332.791396459335,1.86375381055622e-06,0.000139879179302686,"Up in tumor"
"SLC9A2",-2.63402920751092,4.12781423189238,66.5606683709833,1.8646064212837e-06,0.000139879179302686,"Down in tumor"
"CCAT1",4.56989473868179,2.36558443211308,54.1716297576352,1.89207074506799e-06,0.000141089562804381,"Up in tumor"
"DRAIC",-3.51988069443479,0.555848154467146,56.4027594358045,1.9187979106211e-06,0.000141761986403684,"Down in tumor"
"PHGR1",-3.90521378655306,11.973265331103,65.9939128356675,1.92385575381214e-06,0.000141761986403684,"Down in tumor"
"DUSP14",2.08961079071289,3.39649478060181,55.4897162745489,2.01041745013644e-06,0.000147268991214995,"Up in tumor"
"LPCAT1",3.30880150802408,2.97905154440581,41.7215424198914,2.07118059575092e-06,0.000150832818473019,"Up in tumor"
"MET",1.93736103317678,4.57131519390845,57.5824811550736,2.12382807555133e-06,0.000152917127758255,"Up in tumor"
"TPSG1",-3.70334390268942,3.14826470107523,55.6506860372427,2.13147776513775e-06,0.000152917127758255,"Down in tumor"
"ARHGAP29",4.76188449552911,3.15042441721912,52.7378405440687,2.13664018549236e-06,0.000152917127758255,"Up in tumor"
